"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2012_平成24年度"
"  １．民間最終消費支出","2161504.0","2097361.0","2079575.0","2213206.0","2258069.0","2288383.0","2318806.0","2323435.0","2154229.0","2107021.0","2127119.0","2098272.0","2201734.0"
"  ２．政府最終消費支出","800026.0","804296.0","795894.0","805981.0","802773.0","793285.0","804723.0","811598.0","805558.0","811623.0","828878.0","823378.0","819134.0"
"  ３．県 民 貯 蓄","488947.0","516068.0","503941.0","378887.0","473682.0","443807.0","313537.0","96994.0","149627.0","432034.0","434303.0","477452.0","400103.0"
"県民可処分所得の使用","3450477.0","3417725.0","3379410.0","3398074.0","3534524.0","3525475.0","3437066.0","3232027.0","3109414.0","3350678.0","3390300.0","3399102.0","3420971.0"
"  ４．県内雇用者報酬","1598533.0","1621797.0","1531734.0","1489601.0","1435874.0","1406691.0","1371999.0","1355082.0","1344251.0","1344825.0","1340546.0","1345693.0","1341315.0"
"  ５．県外からの雇用者報酬(純)","135282.0","130707.0","130608.0","125306.0","132550.0","135369.0","124323.0","114098.0","112448.0","108237.0","106138.0","101217.0","96444.0"
"  ６．営業余剰・混合所得","953636.0","926430.0","1055329.0","1085874.0","1240564.0","1282774.0","1239686.0","1132756.0","986051.0","1179223.0","1221296.0","1239719.0","1274510.0"
"  ７．県外からの財産所得（純）","-15832.0","-26516.0","-33164.0","-485.0","-10489.0","-21141.0","25585.0","-40464.0","-17779.0","11889.0","23791.0","22836.0","45933.0"
"  ８．生産・輸入品に課される税","426119.0","394753.0","359291.0","370592.0","381285.0","387199.0","360217.0","352012.0","332806.0","343518.0","338172.0","336129.0","322608.0"
"  ９．［控除］補 助 金","29047.0","27255.0","31713.0","26632.0","25390.0","23209.0","21225.0","19832.0","26130.0","24522.0","23524.0","20489.0","25877.0"
"  10．県外からのその他の経常移転(純)","381786.0","397809.0","367326.0","353819.0","380130.0","357792.0","336481.0","338375.0","377767.0","387508.0","383881.0","373997.0","366038.0"
"県民可処分所得","3450477.0","3417725.0","3379410.0","3398074.0","3534524.0","3525475.0","3437066.0","3232027.0","3109414.0","3350678.0","3390300.0","3399102.0","3420971.0"
